BUSN3000StudentSurvey-Info.txt


Variable Name	Description
Name		Enter your First and Last Name
StudentID	Enter your UGA 81 Number.
Age		Enter your age in years.
Nsiblings	How many siblings do you have?
Live		Do you live on or off-campus?
Nroommates	How many roommates do you have?
ClassStanding	What is your class standing?
Major		What is your intended major (at this time)?
Minor		What is your intended minor (at this time)?
CreditHours	How many credit hours are you attempting this semester?
Working	Are you working this semester?
NHoursWorking	On average, how many hours per week do you work?
Transfer	Are you a transfer student?
APCalculus	Did you take AP Calculus?
APCalExam	What was your AP Calculus exam result?
APStat		Did you take AP Statistics?
APStatExam	What was your AP Statistics exam result?
CalCollege	Have you taken calculus in college?
StatCollege	Have you taken statistics in college?
MathStrong	"Pure math is an area of strength for me."
MathAnxiety	Rate your math anxiety.
StatStrong	"Statistics is an area of strength for me."
StatAnxiety	Rate your statistics anxiety.
Ruser		Have you ever used R or RStudio software before?
Rproficiency	Rate your proficiency with R or RStudio.
NHoursStudy	How many hours per week do you study outside of class?
NHoursSleep	How many hours of sleep do you get on a typical weeknight?
GradYear	What is your expected year of graduation?
LetterGrade	What is your expected letter grade in this class?
CLLetterGrade	Rate your confidence level in achieving this letter grade.
DayOff		Name your favorite thing to do on a day off.
Music		Name your favorite musical artist.
Movie		Name your favorite movie.
Travel		Name your favorite travel destination.
