Name,StudentID,Age,Nsiblings,Live,Nroommates,ClassStanding,Major,Minor,CreditHours,Working,NHoursWorking,Transfer,APCalculus,APCalExam,APStat,APStatExam,CalCollege,StatCollege,MathStrong,MathAnxiety,StatStrong,StatAnxiety,Ruser,RProficiency,NHoursStudy,NHoursSleep,GradYear,LetterGrade,CLLetterGrade,DayOff,Music,Movie,Travel
,,18,1,On-campus,1,Freshman,Management Information Systems,NA,16,No,,No,Yes,Passed,No,,Yes,No,6,4,4,5,No,,2,7,2029,A,6,Basketball,Sofaygo,Shutter Island,Brazil
,,19,2,On-campus,1,Freshman,Risk Management and Insurance,N/A,16,Yes,20,No,Yes,Passed,No,,No,No,4,4,4,4,No,,5,7,2029,A,4,Watching Game of Thrones,John Lee Hooker,The Departed,Boston
,,19,2,On-campus,1,Sophomore,Marketing, - ,15,Yes,8,No,No,,No,,No,No,2,6,3,6,No,,10,7,2028,A-,5,cook a meal,omer adam,mamma mia,iceland
,,19,1,On-campus,1,Freshman,Marketing,none,15,No,,No,Yes,Passed,Yes,Passed,No,No,4,5,5,4,No,,3,8,2029,A,6,hang out with friends ,Morgan Wallen,Parent Trap,Beach
,,18,1,On-campus,1,Freshman,Finance,n/a,12,No,,No,No,,No,,No,No,5,4,5,4,No,,5,7,2029,A-,6,play golf,kings of leon,the dark knight,spain
,,19,1,Off-campus,0,Sophomore,Management Information Systems,Consumer Economics,15,Maybe,,Yes,No,,Yes,Did not take exam,No,No,5,6,3,7,No,,10,8,2028,A,5,Cook,Kendrick Lamar,Harry Potter and the Prisoner of Azkaban,India
,,18,1,On-campus,1,Freshman,Finance,,12,No,,No,Yes,Passed,No,,No,No,4,4,4,4,No,,5,8,2029,A,7,"Guitar, golf, gym",Kings of Leon,Interstellar,Switzerland
,,19,1,Off-campus,1,Sophomore,Finance,,15,Yes,15,Yes,Yes,Passed,No,,Yes,No,6,2,4,4,No,,10,7,2028,A,5,hang out with friends and family,,Pride and Predjudice,
,,18,2,On-campus,1,Freshman,Finance,Undecided,15,Yes,8,No,Yes,Passed,Yes,Passed,No,No,6,5,5,4,No,,3,8,2029,A,6,Watch football with friends,Frank Ocean,Dead Poets Society,Jamaca
,,19,2,On-campus,1,Freshman,Management Information Systems,,15,Maybe,,No,Yes,Passed,No,,No,No,5,6,4,4,No,,6,7,2029,A,4,go eat with friends,malcolm todd,about time,korea
,,18,2,On-campus,1,Freshman,Risk Management and Insurance,N/A,15,Yes,8,No,Yes,Passed,Yes,Did not take exam,No,No,6,2,4,2,No,,5,8,2029,A-,6,Pickleball,Pearl Jam,Se7en,Colorado
,,19,1,Off-campus,3,Junior,Management Information Systems,MIS,15,Yes,7,Yes,No,,No,,Yes,No,2,6,2,6,No,,10,8,2027,A-,3,Gym or go thrifting,Frank Ocean,Sinners,Japan
,,20,3,Off-campus,1,Junior,Risk Management and Insurance,N/A,12,Yes,20,Yes,No,,No,,No,No,6,2,4,4,No,,3,6,2027,A-,6,Thrift ,Sheena Ringo,Diehard,Dominican Republic 
,,19,2,Off-campus,1,Sophomore,Management Information Systems,Management Information Systems,15,No,,Yes,No,,Yes,Passed,Yes,No,5,,4,4,No,,10,8,2028,A,4,Watch movies,Mozart,Amadeus,India
,,20,2,Off-campus,3,Sophomore,Risk Management and Insurance,not sure,12,Yes,15,Yes,No,,No,,No,No,5,5,5,5,No,,15,8,2028,A,5,fish,treaty oak,blindside,Idaho
,,22,1,Off-campus,0,Junior,Economics,none,12,Yes,20,Yes,No,,Yes,Passed,No,Yes,4,4,4,4,No,,5,6,2028,A-,5,Working out,Post Malone,Spider men,Japan
,,19,2,Off-campus,1,Sophomore,Finance,N/A,12,Maybe,,Yes,No,,No,,No,Yes,4,3,4,4,Yes,1,3,8,2028,A-,3,Workout and exercise,Oasis,Shawshank Redemption,"Valencia, Spain"
,,18,1,On-campus,1,Freshman,Finance,Statistics,15,No,,No,Yes,Passed,No,,No,No,6,3,4,6,No,,9,8,2029,A,6,watch tv and hangout with friends,Taylor Swift,The Housmaid,Greece
