timestamp,student_name,uga_id,q01_age,q02_siblings,q03_campus,q04_roommates,q05_class_standing,q06_major,q07_minor,q08_credit_hours,q09_working,q10_work_hours,q11_transfer,q12_ap_calculus,q13_ap_calculus_score,q14_ap_statistics,q15_ap_statistics_score,q16_college_calculus,q17_college_statistics,q18_math_strength,q19_math_anxiety,q20_statistics_strength,q21_statistics_anxiety,q22_r_experience,q23_r_proficiency,q24_study_hours,q25_sleep_hours,q26_graduation_year,q27_expected_grade,q28_grade_confidence,q29_day_off,q30_music_artist,q31_movie,q32_travel_destination,q33_section,q34_ai_frequency,q35_ai_agent_familiarity,q36_ai_methods,q37_ai_uses,q38_ai_skill,q39_ai_paid,q40_ai_subscriptions,q41_ai_bias_concern,q42_ai_wrong_answers_concern,q43_ai_privacy_concern,q44_ai_jobs_concern,q45_ai_overreliance_concern,q46_ai_oversight_concern,q47_ai_disclosure,q48_ai_coursework_ethics,q49_ai_ethical_objections,q50_ai_harm_responsibility
8/17/2026 9:03:51,,,22,1,Off-campus,3,Senior,Marketing,Marketing ,12,Maybe,,Yes,No,,No,,No,No,1,6,2,6,Yes,4,10,6,2027,B,4,sleep,don toliver,toy story,florida,08:15AM,Weekly,I have a general idea of what it means,"Chat interface (e.g., the ChatGPT, Claude, or Gemini app or website), Coding agent (e.g., Claude Code, OpenAI Codex)","Writing/editing, Brainstorming, Studying or as a tutor, Math/Statistics, Coding, Summarizing readings",7,No,Chat GPT Plus/Pro,4,4,4,4,4,4,5,6,none,The user
8/17/2026 9:04:21,,,22,0,Off-campus,3,Junior,Economics,N/A,15,Yes,14,Yes,Yes,Did not pass,Yes,Passed,No,No,4,5,4,5,Yes,5,8,7,2027,A,5,Relax or play soccer,Junny,Avengers,Korea,08:15AM,Weekly,I have a general idea of what it means,"Chat interface (e.g., the ChatGPT, Claude, or Gemini app or website)","Writing/editing, Brainstorming, Studying or as a tutor, Math/Statistics, Coding",5,No,None,4,5,4,6,5,5,4,4,none,The user
8/17/2026 9:04:26,,,19,2,Off-campus,4,Junior,Economics,N/A,12,Yes,15,No,No,,Yes,Did not pass,No,No,3,4,4,3,Yes,4,10,8,2028,B+,5,Go fishing,Led Zepplin,Forrest Gump,Paris,08:15AM,Daily,I have a general idea of what it means,"Chat interface (e.g., the ChatGPT, Claude, or Gemini app or website)","Writing/editing, Brainstorming, Studying or as a tutor, Math/Statistics, Summarizing readings",4,Yes,Claude Pro/Max,5,7,4,5,5,3,5,6,Environmental damages,The user
8/17/2026 9:04:26,,,19,2,Off-campus,1,Sophomore,Finance,"I don't have an intended minor, but I'm double majoring in accounting and finance. ",12,No,,No,Yes,Did not take the exam,Yes,Did not take exam,No,No,7,2,6,2,Yes,6,5,7,2029,A,6,Play pickleball,Gracie Abrams,Knives Out ,Jamaica,08:15AM,Weekly,I could explain it to someone else,"Chat interface (e.g., the ChatGPT, Claude, or Gemini app or website), General-purpose agent that works across apps, files, or the browser","Writing/editing, Brainstorming, Studying or as a tutor, Summarizing readings",5,Yes,Claude Pro/Max,5,5,6,6,6,6,6,7,,The company that built the AI tool
8/17/2026 9:04:36,,,21,1,Off-campus,3,Senior,Marketing,Sports Management,15,No,,Yes,No,,No,,Yes,Yes,3,5,5,2,Yes,5,5,7,2027,A-,4,Frisbee ,Fall Out Boy ,Infinity War ,Bed ,08:15AM,Weekly,I could explain it to someone else,"Chat interface (e.g., the ChatGPT, Claude, or Gemini app or website)","Writing/editing, Studying or as a tutor, Math/Statistics",6,No,,3,4,5,5,4,4,6,6,none ,Not sure
8/17/2026 9:04:46,,,20,1,Off-campus,3,Junior,Management,na,15,Yes,10,No,No,,No,,No,No,2,6,1,6,Yes,4,5,7,2028,A-,4,golf,zach top,american sniper,france,08:15AM,Daily,I have a general idea of what it means,"Chat interface (e.g., the ChatGPT, Claude, or Gemini app or website), Coding agent (e.g., Claude Code, OpenAI Codex)","Writing/editing, Brainstorming, Math/Statistics",6,Yes,Claude Pro/Max,1,6,7,7,7,5,7,5,none,Not sure
8/17/2026 9:04:50,,,21,2,Off-campus,2,Senior,Management,,15,No,,Yes,No,,No,,No,No,1,7,3,4,Yes,3,4,7,2027,A,1,"Fish, Golf",Sade,Interstellar ,"Cabo, Mexico",08:15AM,Weekly,I could explain it to someone else,"Chat interface (e.g., the ChatGPT, Claude, or Gemini app or website)","Writing/editing, Brainstorming, Studying or as a tutor, Math/Statistics, Summarizing readings",7,Yes,Chat GPT Plus/Pro,1,5,5,6,6,4,7,7,none,The company that built the AI tool
8/17/2026 9:04:55,,,20,1,Off-campus,2,Junior,Finance,N/A,15,Yes,20,No,No,,No,,Yes,No,6,2,4,5,Yes,1,10,7,2028,A,5,Play games and hang out with friends,Drake,Avengers Infinity War,Japan,08:15AM,Daily,I could explain it to someone else,"Chat interface (e.g., the ChatGPT, Claude, or Gemini app or website), Coding agent (e.g., Claude Code, OpenAI Codex)","Writing/editing, Brainstorming, Studying or as a tutor, Math/Statistics, Coding, Summarizing readings",7,No,Gemini Advanced,5,3,7,7,6,6,6,7,N/A,The company that built the AI tool
8/17/2026 9:04:56,,,20,4,Off-campus,3,Junior,Management,Sports Management,15,Yes,20,Yes,No,,No,,No,No,6,2,4,5,Yes,2,10,6,2027,B,5,Play with my dog,Zach Top,Avengers: Age of Ultron,Disney World,08:15AM,Weekly,I have a general idea of what it means,"Chat interface (e.g., the ChatGPT, Claude, or Gemini app or website)","Brainstorming, Studying or as a tutor, Math/Statistics, Summarizing readings",5,No,None,2,5,2,3,5,1,7,5,None,The government/regulators
8/17/2026 9:04:59,,,20,9,On-campus,2,Junior,Finance,,18,Yes,12,No,No,,No,,No,No,4,2,3,2,Yes,3,4,8,2028,A-,5,Hangout with friends,Tyler Childers,Captain Ron,Hawaii,08:15AM,Daily,I have a general idea of what it means,"Chat interface (e.g., the ChatGPT, Claude, or Gemini app or website)","Writing/editing, Brainstorming, Studying or as a tutor, Math/Statistics, Summarizing readings",6,Yes,Chat GPT Plus/Pro,2,5,2,6,2,4,5,6,none,Not sure
